SSN,Longitude,Latitude,Region,Country,Site,Cluster,Plot,Depth,Clay_2um,Clay_8um,Clay_20um,Clay_63um,Total_C,CORG,CINORG,Total_N,pH,Am_Ox_Al,Am_Ox_Fe,Am_Ox_Mn,Am_Ox_P,Olsen_P,pbi,Caex,Kex,Mgex,Naex,eCEC,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Zn,VegStructure,Date,Altitude,Accuracy,SlopeDn,SlopeUp,MajLform,LformDes,PosTopoSeq,ArtSurface,VegCovLT40,PlotFlood,PlotCultMgd,Trees,Shrubs,Graminoids,Forbs,VegOther,Broadleaf,Needleleaf,Allophytic,Evergreen,Deciduous,WdCovRate1,WdCovRate2,WdCovRate3,WdCovRate4,HerbCovRate1,HerbCovRate2,HerbCovRate3,HerbCovRate4,VegStrataDescr,SameLanduse90,UseFoodBeverage,UseForage,UseTimberFuelwood,UseOther,LandUseHistory,RockCover1,RockCover2,RockCover3,RockCover4,Erosion1,Erosion2,Erosion3,Erosion4,SoilConservation,SWCStructures,SWCDescr,AugDepth1,AugDepth2,AugDepth3,AugDepth4,Notes,Delta14C,Delta14C_err,F14C,F14C_err,TurnoverTime,Delta13C,SSN.XRPD,Quartz,Clay_1_1,Clay_2_1,Amorphous,Pedogenic_Oxides,Feldspars,LIG_N,SoilTMP_C,SoilMoi_kgm2,SoilMoi_m3m3,Litterfall.gC.m2.yr,Litterroot.gC.m2.yr,NPP.gC.m2.yr,NPP.gC.m2.d,clay_extracted,bd_extracted,silt_extracted,MAT,MAP,PET,npp_modis,socs,sm,stemp
icr033904,38.32725525,4.2079401,East Africa,Ethiopia,Mega,16,8,Topsoil,25.404,68.731,83.032,92.618,2.26,2.09,0.2,0.17,7.94,2545.652,1916.206,634.174,97.714,2,132.2,32.53,1.57104974,8.844604207,0.073946219,46.00515283,41004.06812,13767.59496,23.53284205,80.80543513,26.48867701,48164.75502,8389.954623,18741.81428,968.1398871,110.4795745,155.2905903,174.564418,7.321359608,190.7036626,67.36608772,Shrubland,05-06-11,1507,1.5,1,1,Level,Plain,Bottomland,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4,4,4,4,"the plot is a shrub land covered with short acacia trees,grass and forbs",No,0,1,1,0,the plot was a bush land but currently it is a shrub land and used for grazing and fire wood collection,1,1,1,1,Sheet,Sheet,Sheet,Sheet,None,0,,50,50,50,50,,NA,NA,NA,NA,NA,NA,icr033890,11.5956,0,33.6497,5.0708,4.5921,12.816,19.88391681,22.5157299,228.7383151,0.306509342,173.78,129.0937169,302.8737169,0.829791005,26,1.34,22,21.0375001,542,1948,0.485657143,5.6012,0.308567703,25.85815239
icr034422,9.348373333,6.97757667,West Africa,Nigeria,Katsina Ala,9,1,Topsoil,10.34,26.335,34.984,45.19,0.5,0.5,0,0.03,6.15,624.366,623.724,230.531,17.131,1.1,31.01,1.26,0.250409739,0.466349367,0.061755668,2.618711429,8773.143919,341.0772631,6.562184627,16.16272014,3.564155488,8331.802867,481.6349171,238.1800324,341.9900495,32.50044832,3.86005854,77.10360439,6.59648273,31.70849112,8.049935972,Cropland,30-04-11,196,1.4,0,1,Level,Plateau,Footslope,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,2,3,0,2,Cropland Cassava and grounut field Next to depression with grass cover,Yes,1,0,0,0,Terrestrial cultivated managed area within community,1,1,1,1,None,None,None,None,None,0,,50,50,50,50,Cropland on plateau footslope next to housing,NA,NA,NA,NA,NA,NA,icr034422,79.855,4.3123,0,1.354,2.2041,9.1224,9.277812168,27.45188332,279.3570103,0.363164113,359.58,74.46922839,434.0492284,1.189175968,26,1.3,20,26.86250011,1700,1619,0.422642857,1.3,0.383163124,28.49312782
icr037453,-5.534058333,11.32941667,West Africa,Mali,Finnkolo,3,1,Topsoil,13.601,33.598,44.538,56.734,0.9,0.9,0,0.06,5.82,668.566,763.761,147.421,17.565,1.56,36.12,2.25,0.204000155,0.832236609,0.011424331,1.906209067,10725.28644,528.8689158,3.281456834,19.99369544,3.189521924,11400.57293,460.9028588,329.8243528,197.3370543,17.19190218,4.866569455,81.66318332,5.417602812,49.57228164,5.67525034,Cropland,14-09-11,386,1.7,1.3,10,Level,Valley,Bottomland,0,0,0,1,1,0,1,1,0,0,1,0,0,1,2,0,0,0,5,5,4,4,Crop land in 1 year old fallow in park of Parkia biglobosa /shared with maize crop in subplot 3 and 4;dense herbaceous cover ;graminoids .,Yes,1,1,0,0,Food Crop in 1 year old fallow usually potatoe crop .,1,1,1,1,None,None,None,None,None,0,,50,50,50,50,,4.3,2,1.0128,0.002,267,-20.21,icr037453,86.5838,8.4369,0,1.3033,3.551,0,9.277812168,28.04382706,249.0690682,0.356168768,244.57,47.75245396,292.322454,0.800883436,22,1.43,20,27.27916702,1057,2280,0.068271429,2.574,0.27387169,28.96456146
icr037531,-5.518538333,11.32956833,West Africa,Mali,Finnkolo,7,1,Topsoil,17.007,32.48,38.369,45.992,0.33,0.33,0,0.02,5.9,967.941,620.163,324.484,9.128,0.54,66.75,0.92,0.096220611,0.371693151,-0.052675713,0.794209284,11189.45074,264.2088229,4.335616551,20.78513298,1.321228201,10974.40116,437.5948266,293.5363067,411.8522393,27.07425654,5.363302822,60.2361455,4.761013928,18.99987595,5.666897008,Cropland,13-09-11,430,1.6,0,1,Level,Plateau,Footslope,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cropland Maize field,Yes,1,0,0,0,Terrestrial cultivated managed area,1,1,1,1,None,None,None,None,None,0,,50,50,50,50,,-117,3,0.8905,0.003,1178,-19.76,icr037531,85.2212,6.0186,0,0,3.1737,0,9.277812168,28.04382706,249.0690682,0.36364084,244.57,49.70934956,294.2793496,0.806244793,26,1.46,17,27.14583341,1056,2280,0.0929,0.9636,0.27387169,28.96456146
icr037574,-5.486493333,11.28301667,West Africa,Mali,Finnkolo,9,5,Topsoil,9.262,25.742,31.403,37.836,0.49,0.49,0,0.11,5.76,868.252,411.699,106.082,6.279,0.6,53.19,1.17,0.135000189,0.585290286,-0.040051538,3.664503487,9483.908532,325.7596291,1.966433255,15.4467518,1.694290398,10508.64887,410.379013,303.0824173,142.5636675,14.84025183,3.358671667,49.66239718,3.670685581,25.19309809,3.735355448,Cropland,20-09-11,594,2,2,3.5,Sloping,Plain,Footslope,0,0,0,1,1,1,1,1,0,1,1,0,0,1,3,3,3,3,4,4,4,4,Secondary forest Finkolo forest reserve with Terminalia macroptera ;Vitellaria paradoxa ;Ptelopsis suberosa ;herbaceous cover degraded by pasture /cattle settlement .,Yes,0,1,0,0,Semi natural terrestrial vegetation /secondary forest Finkolo forest reserve on sandy soil .,1,1,1,1,Rill,Rill,Sheet,Sheet,None,0,,50,50,50,50,,16.4,3.1,1.025,0.0031,219,-20.4,icr037574,90.4191,6.5283,0,0.5886,2.1072,0,9.277812168,27.92312431,226.1110575,0.312033259,243.62,157.708659,401.328659,1.099530573,20,1.38,17,26.8499999,1068,2271,0.107442857,1.3524,0.216830373,28.76922035
icr037590,-5.48807,11.30168667,West Africa,Mali,Finnkolo,10,2,Topsoil,18.802,41.704,54.21,66.277,1.31,1.31,0,0.08,6.16,1336.433,1040.718,216.022,18.761,1.44,55.84,3.31,0.320263576,1.458537547,-0.035002401,3.635004644,20833.4485,854.8539959,4.463307977,86.74811236,5.428761013,46680.26971,843.5858306,622.8334471,337.3642564,32.64159864,6.53191669,138.050587,10.62325012,73.14492904,7.801391081,Forest,21-09-11,587,1.8,3,3,Sloping,High gradient valley,Midslope,0,0,0,1,1,1,1,1,0,1,1,0,0,1,3,3,2,3,5,5,5,5,Secondary forest /Finkolo forest reserve with Isoberlinia doka dense herbaceous cover mainly Cymbopogon giganteus ;2 termites mounds;few hard pan iron rock block .,Yes,0,1,0,0,Semi natural terrestrial vegetation /wooded grass land pasture .,2,2,2,2,Sheet,Sheet,Sheet,Sheet,None,0,,50,50,53,30,,NA,NA,NA,NA,NA,NA,icr037590,68.0244,14.1384,0,0,14.092,0,34.48656825,27.92312431,226.1110575,0.302988817,243.62,157.8058618,401.4258618,1.099796882,22,1.34,17,26.87916652,1064,2271,0.117985714,3.5108,0.216830373,28.76922035
icr037626,-5.48847,11.351895,West Africa,Mali,Finnkolo,12,1,Topsoil,21.755,33.605,41.033,54.188,0.45,0.45,0,0.03,5.49,1597.975,735.944,87.433,6.516,0.44,66.71,1.19,0.093458582,0.661923972,0.005194492,1.452465893,20544.52047,301.1800441,3.019604172,42.77772798,3.733205475,19018.31349,514.7635443,391.2136875,147.0092772,24.62676719,7.321918629,64.22262682,5.705092233,30.26175788,6.444382587,Cropland,19-09-11,444,1.6,1,1.5,Level,Plain,Footslope,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,2,4,4,5,5,peanut ;okra crop in park of Terminalia macroptera ;close to a lives fences with Eucalyptus basalmifera in subplot 4;dense herbaceous mainly Digitaria debilis .,Yes,1,1,0,0,Cash crop /food Crop ground nut; (voandzou) peanut ;and okra crop .,1,1,1,1,Sheet,Sheet,Sheet,Sheet,None,0,,50,5,50,50,,NA,NA,NA,NA,NA,NA,icr037626,81.1744,11.9183,0,1.7599,4.4786,0,9.277812168,27.92312431,226.1110575,0.318816591,243.62,51.28842143,294.9084214,0.807968278,26,1.41,18,27.02499994,1053,2281,0.079485714,1.269,0.216830373,28.76922035
icr037689,-5.466885,11.32902667,West Africa,Mali,Finnkolo,15,6,Topsoil,34.876,54.193,68.455,87.265,1.6,1.6,0,0.08,4.75,2020.54,1480.964,46.087,15.78,0.98,116.3,1.23,0.067329532,0.457890738,0.002693317,2.18765469,35228.4735,435.7475521,6.228137125,63.4576085,10.24251691,36613.67316,650.5585544,736.8712812,133.3906789,31.27791436,14.40194285,145.8978526,11.24928311,60.7116842,9.681430573,Woodland,19-09-11,475,1.7,1,2,Level,Plateau,Upland,0,0,0,0,1,1,1,1,0,1,0,0,1,0,5,2,5,5,0,5,1,2,Woodland Dense woody cover,Yes,0,1,1,0,Terrestrial semi natural vegetation Grazing land,1,1,1,1,None,None,None,None,None,0,,20,50,50,19,,NA,NA,NA,NA,NA,NA,icr037689,63.6438,16.1533,1.6976,2.0277,7.5113,0,20.60163272,27.92312431,226.1110575,0.325599923,243.62,157.9280841,401.5480841,1.100131737,21,1.44,15,26.875,1055,2280,0.1206,4.608,0.216830373,28.76922035
icr037699,-5.469775,11.34972,West Africa,Mali,Finnkolo,16,2,Topsoil,73.119,87.774,92.006,97.437,0.68,0.68,0,0.05,4.87,2151.975,1267.139,249.675,2.886,0.64,175.74,2.58,0.124826387,1.287429388,-0.003964516,5.514278237,62691.82582,603.1436595,9.998385357,41.70457865,15.27300803,21272.87926,1425.132023,878.1263875,359.9107591,39.78619264,29.39336673,81.34530821,9.954112654,34.39861555,15.25924891,Shrubland,20-09-11,432,1.6,1,2,Level,Plateau,Footslope,0,0,0,0,1,1,0,1,0,1,0,0,1,0,2,5,2,1,0,0,0,0,Shrubland Scattered trees,Yes,0,0,0,0,Terrestrial semi natural vegetation,1,1,1,1,Sheet,Sheet,Sheet,Sheet,None,0,,50,50,50,50,,NA,NA,NA,NA,NA,NA,icr037699,36.0394,40.5341,6.5113,2.0416,5.5949,0,19.88391681,27.92312431,226.1110575,0.312033259,243.62,48.26433853,291.8843385,0.799683119,25,1.38,18,26.8416667,1055,2275,0.084842857,1.8768,0.216830373,28.76922035
icr037767,10.22336667,5.26178333,West Africa,Cameroon,Bana,2,1,Topsoil,33.22,64.271,73.316,80.645,1.89,1.89,0,0.15,4.25,2630.605,2750.514,36.181,59.142,3.66,151.66,0.59,0.1510952,0.221592684,-0.043276582,5.454746487,44623.87869,201.4298698,4.291075971,16.79132701,3.866877091,29600.84314,1111.742129,779.2763194,104.8315064,22.83025661,7.570090666,313.8125166,24.6223607,166.879047,29.59550735,Cropland,30-07-11,1276,1.9,11,13,Sloping,Medium gradient mountain,Midslope,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,5,2,Cropland Coffee plantation Subplot 4 Bushy with Chromonaela and grass,Yes,1,0,0,0,Terrestrial cultivated managed area,1,1,1,1,None,None,None,None,None,0,,50,50,50,50,Cropland on medium mountain midleslope,NA,NA,NA,NA,NA,NA,icr037767,45.7754,25.2628,6.2992,0,12.4837,5.6444,9.277812168,21.67989159,370.1323804,0.396041647,384.31,157.9941131,542.3041131,1.485764694,34,1.07,19,23.17916679,2004,1445,0.654542857,4.0446,0.441830933,21.73150063
icr037843,10.258085,5.238615,West Africa,Cameroon,Bana,5,9,Topsoil,49.57,78.992,88.212,91.243,2.21,2.21,0,0.17,4.59,4026.718,3691.371,172.053,66.214,2.38,236.74,1.26,0.23504272,0.517387249,0.090178494,1.160546823,74235.92592,376.1590185,5.543044709,81.33374692,16.37700914,60834.90657,311.5223621,373.6513919,298.3351731,21.70741011,22.18403877,491.0429588,14.55157902,198.6559925,19.41122143,Cropland,16-07-11,1278,1.6,23,10,Steep,Medium gradient hill,Midslope,0,0,0,1,1,1,1,1,0,1,0,0,0,1,3,3,2,2,2,2,1,1,Crop land coffee ;and cola nut plantation few herbaceous cover ;mixed .,Yes,0,0,0,0,Cash crop ;20years coffee plantation associated with Cola nut .,1,1,1,1,Gully/Mass,Gully/Mass,Rill,Rill,None,0,,50,50,50,50,Cash crop /20years old coffee plantation ;in high land  soil ;subplot 2 close to a water stream bank .,NA,NA,NA,NA,NA,NA,icr037843,31.3065,24.8156,0,1.303,28.6037,0,9.277812168,21.99412727,267.1062093,0.288474706,384.31,86.32587097,470.635871,1.289413345,34,1.08,21,22.96250002,2002,1434,0.703585714,4.7736,0.441830933,21.73150063
icr037869,10.242555,5.27953833,West Africa,Cameroon,Bana,7,2,Topsoil,24.915,57.886,70.052,80.4,3.17,3.17,0,0.22,4.89,4513.518,4421.362,468.418,163.791,6.08,201.26,3.06,0.508889876,1.351419853,0.082564529,5.012199051,58336.51331,993.7464563,18.8977946,19.36080842,12.9814368,43051.71354,3644.883804,3795.644281,762.6050101,33.30474378,17.80125957,566.7690036,17.35801046,178.7867275,63.76904591,Grassland,22-07-11,1288,2.4,22,26,Steep,Plateau,Midslope,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,2,2,5,5,5,5,Grass land with dense herbaceous cover mainly Chromalenae odorata ;Fougher;Panicum maximum ;many shiny granite rock block appear.,Yes,0,1,0,0,Semi natural terrestrial vegetation /grass land .with mainly  Panicum maximum ;and Chromalenae odorata .,2,3,3,3,Gully/Mass,Gully/Mass,Rill,Rill,None,0,,30,40,34,27,Semi natural terrestrial vegetation grass land mainly Chromalenae odorata ;Panicum maximum ;on steep  shiny granite rock block ;,NA,NA,NA,NA,NA,NA,icr037869,23.9744,22.3066,0,9.5301,10.6411,20.5545,10.31141061,21.67989159,370.1323804,0.359028409,384.31,157.1212205,541.4312205,1.483373207,36,0.97,21,23.1291666,1999,1447,0.933214286,6.1498,0.438500017,21.88029289
icr037901,10.249175,5.30427333,West Africa,Cameroon,Bana,8,8,Topsoil,42.258,76.763,85.69,92.461,2.34,2.34,0,0.19,5.2,3640.322,6567.614,312.524,91.866,2.08,189.13,2.56,0.312155581,1.710865183,0.01347966,5.311162089,57097.40094,678.1850133,13.90755943,42.51355489,6.058604772,46864.77164,936.0106409,1862.637502,491.7303079,38.26455665,18.44074522,403.9574148,12.6233578,150.5734814,44.32162158,Cropland,23-07-11,1359,2.3,0.5,26,Sloping,Valley,Footslope,0,0,1,1,1,1,1,1,0,1,1,0,0,1,2,2,2,2,5,4,5,3,Crop land ;abandoned sweet bananas plantation with Raphia tree ;herbaceous cover mainly Chromalenae odorata ;Panicum maximum ;Digitaria sp ;subplot 1 located 1m from a stream bed .,Yes,0,1,0,0,Abandoned cash crop /sweet bananas plantation ;ina narrow and deep  valley stream bank .,1,1,1,1,None,None,Rill,Rill,None,0,,50,50,50,50,Cash crop abandoned sweet bananas plantation in narrow and deep  valley stream bank .Subplot 1 located 1m from a stream bed .,NA,NA,NA,NA,NA,NA,icr037901,26.6004,36.5523,0,3.0445,12.175,13.4136,9.277812168,21.67989159,370.1323804,0.366431057,384.31,98.931292,483.241292,1.323948745,34,0.99,19,22.92083343,1951,1463,0.939128571,4.6332,0.438500017,21.88029289
icr037927,10.26777667,5.25545667,West Africa,Cameroon,Bana,10,1,Topsoil,23.908,60.708,73.867,84.682,3.2,3.2,0,0.26,4.82,4221.199,9522.892,584.59,377.302,7.48,168.47,6.14,0.308067065,2.620988515,0.041468488,6.138905193,51807.62266,1707.354279,20.74308489,88.74286676,16.40938004,53772.73581,1374.826544,2378.763829,836.5725249,35.19126937,36.02965957,762.9569111,12.33647483,240.5719326,54.61251748,Cropland,18-07-11,1213,1.7,1,2,Level,Valley floor,Bottomland,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,Cropland Mixed Cassava Yam Taro  Maize  and Plantain field,Yes,1,0,0,0,Terrestrial cultivated managed area Within community,1,1,1,1,None,None,None,None,None,0,,50,50,50,50,Cropland on valley foor next to housing,54.6,2.1,1.0636,0.0021,115,-20.44,icr037927,28.8485,20.6941,2.1021,7.2067,12.3555,14.9489,9.277812168,20.99602318,366.6862514,0.392354289,384.31,87.55686348,471.8668635,1.292785927,36,1.07,23,22.98750011,2011,1427,0.658285714,6.848,0.441830933,21.73150063
icr037969,10.26682167,5.29722333,West Africa,Cameroon,Bana,12,3,Topsoil,17.217,46.295,61.286,72.504,1.06,1.06,0,0.08,4.56,1478.247,1384.976,156.596,32.249,2.31,91.35,0.73,0.46288485,0.776397766,-0.032691804,2.099362649,27328.5037,215.7158877,6.841945846,6.467507974,19.6955582,39998.9649,2709.475518,1318.617726,251.5840435,37.55790726,5.539089218,601.2595339,18.97754451,57.55524521,56.87823106,Forest,23-07-11,1362,1.7,35,45,Steep,High gradient mountain,Midslope,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,4,5,1,1,1,1,Secondary forest Pine bluff plantation Moderately dense woody cover Next to housing Plantain in subplot 3,Yes,0,0,1,0,Terrestrial managed trees plantation Within community Bushy with Chromonaela,1,1,1,1,None,None,None,None,None,0,,40,40,50,50,Planted Pine bluff in subplot 134 Grassland in subplot 2 Human disturbed area tobuild house,NA,NA,NA,NA,NA,NA,icr037969,22.6547,15.9328,18.9019,2.7547,11.6294,13.133,34.48656825,20.99602318,366.6862514,0.344685076,384.31,158.6994436,543.0094436,1.487697106,34,0.94,20,22.97916667,1973,1446,0.699728571,1.9928,0.438500017,21.88029289
icr037986,10.28871167,5.233795,West Africa,Cameroon,Bana,13,1,Topsoil,43.884,74.32,83.838,92.051,4.3,4.3,0,0.3,4.61,6722.036,4591.56,480.328,162.137,2.18,381.77,7.24,0.216463785,3.032860157,-0.028340992,9.732082751,108205.3503,1887.912344,31.04856736,305.4721407,34.94265933,126386.774,543.7405814,1916.764125,949.140439,38.16311987,96.25853688,688.070554,12.80100717,259.1700108,52.05243075,Cropland,15-07-11,1313,1.9,10,9,Steep,Medium gradient mountain,Midslope,0,0,0,1,1,1,1,1,0,1,1,0,0,1,2,1,2,2,5,5,5,5,Crop land abandoned palm tree plantation in more than 20years old fallow Dense herbaceous cover mainly annual and perennial Digitaria sp ;and Yiee.,Yes,1,1,0,0,Cash crop in more than 20years old fallow usually ;usually cassava crop .,1,1,1,1,Rill,Rill,Rill,Rill,None,0,,50,50,30,50,Crop land abandoned palm tree plantation in more than 20years old fallow ;usually cassava crop .,24.2,2,1.0329,0.002,192,-19.88,icr037986,8.0098,26.0271,6.2978,0,44.2301,2.0768,9.277812168,21.99412727,267.1062093,0.275119396,384.31,156.8295385,541.1395385,1.482574078,36,1.03,20,22.88333337,1998,1429,0.962614286,8.858,0.441830933,21.73150063
icr038034,10.28513333,5.28465667,West Africa,Cameroon,Bana,15,5,Topsoil,35.092,73.87,83.694,90.681,3.35,3.35,0,0.21,4.93,5662.162,2838.229,65.391,97.193,3.7,403.07,1.33,0.26349888,0.866628575,0.002262994,2.671103993,72886.4491,486.6545547,5.019230309,27.73730764,3.679436338,39280.43623,475.6663177,539.4908224,140.7342088,29.12539525,12.51722044,353.2650249,22.6632001,206.5146012,19.46282426,Cropland,29-07-11,1630,1.8,8,12,Steep,Medium gradient mountain,Midslope,0,0,0,1,1,1,1,1,0,1,1,0,0,1,2,1,2,0,5,5,5,5,Crop land  in 2years old fallow /shared with bananas ;maize ;cassava ;yam crop  in subplot 4;dense herbaceous cover mainly Digitaria sp ;Panicum maximum ;Imperata cylindrica;with  Eucalyptus sp. trees as a live fences.,Yes,1,1,0,0,Food Crop  in 2years old fallow usually cassava ;yam;ground  nut;potatoe crop /shared with  mixed crop field in subplot 4.,1,1,1,1,Rill,Rill,Rill,Rill,None,0,,50,50,50,50,Food Crop in 2years old fallow usually cassava ;maize ;ground nut ;yam crop /shared with cash crop in subplot 4.,NA,NA,NA,NA,NA,NA,icr038034,38.9348,23.9759,1.6741,0,20.3273,0,9.277812168,20.99602318,366.6862514,0.341018214,384.31,162.0732283,546.3832283,1.496940351,33,0.93,21,21.72083314,1949,1426,0.884942857,6.231,0.438500017,21.88029289
icr038100,39.57455826,11.25941277,East Africa,Ethiopia,Kutaber,1,2,Topsoil,NA,NA,NA,NA,19.52,19.52,0,1.43,5.21,1534.715,22509,318.734,248.361,10.74,326.59,35.31,0.198159214,10.2128021,1.440002381,48.71495562,31825.17894,11182.28545,20.81964406,35.73916099,17.73125779,47915.90372,1142.994868,5467.274353,538.8200551,558.669947,30.86766828,729.8189031,6.705852179,1340.157541,40.1638364,Grassland,15-02-11,2675,1.8,9,5,Sloping,Medium gradient hill,Bottomland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fully grazed covered by short grasses,No,0,1,0,0,used for grazing-feeding cattle. it was a farmland before 1998.,1,1,1,1,Sheet,Sheet,Sheet,Sheet,None,0,it is alreadyc covered with grasses which protect it from erosion.,50,50,50,50,it is a little bitrugged,NA,NA,NA,NA,NA,NA,icr038106,0.7279,5.5576,40.1374,0,11.914,20.3096,10.31141061,19.30201912,242.2632428,0.266489567,260.62,61.11884787,321.7388479,0.881476296,37,1.1,29,14.82916669,952,1695,1.189228571,42.944,0.327835053,19.9127903
icr038102,39.57580185,11.26471329,East Africa,Ethiopia,Kutaber,1,3,Topsoil,66.29,87.596,93.536,97.672,2.52,2.52,0,0.21,6.17,3331.636,13890.6,1404.467,276.069,6.08,204.42,31.23,0.264361228,13.91004641,0.298874705,48.12601237,61368.70542,8388.992562,47.05830822,89.14581039,51.66005564,77155.30902,1912.335495,8171.166944,1952.312146,263.1893526,65.01675659,549.5483879,10.03039671,191.2218838,82.01199039,Cropland,16-02-11,2669,1.8,2,2,Level,Plain,Bottomland,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,it has no vegetation.,Yes,1,0,0,0,the land has been used for agricultural purposes for more than 20 years for cereal production.,1,1,1,1,Sheet,Sheet,Sheet,Sheet,Structural,1,it is made of soil.,50,50,50,50,,NA,NA,NA,NA,NA,NA,icr038106,0.7279,5.5576,40.1374,0,11.914,20.3096,9.277812168,19.30201912,242.2632428,0.264066935,260.62,138.9973406,399.6173406,1.094842029,35,1.09,30,14.91249996,951,1699,1.139542857,5.4936,0.327835053,19.9127903
icr038108,39.57509232,11.26079845,East Africa,Ethiopia,Kutaber,1,6,Topsoil,NA,NA,NA,NA,5.44,5.44,0,0.44,6.37,2390.422,12820.5,1449.486,291.559,12.05,170.06,40.34,0.275145749,13.01128989,0.496484222,56.90499261,53373.40303,11551.53699,36.94390961,60.6806477,38.85782736,66878.93485,2086.970701,7620.70873,2161.232008,310.8371904,49.96429647,539.0633406,10.49772931,440.2124914,77.78981865,Grassland,15-02-11,2673,1.5,4,4,Sloping,Plain,Bottomland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fully grazed by short grasses on a little bit of swampy area. it is on the foot slope a hill to the north west of it.,No,0,1,0,0,grazing land used for cattle feeding communally owned. it was a farmland before 1998.,1,1,1,1,Sheet,Sheet,Sheet,Sheet,None,0,it is already covered by grasses which protect it from erosion.,50,50,50,50,the area is aslopy up hill plain area which is used for grazing.,NA,NA,NA,NA,NA,NA,icr038106,0.7279,5.5576,40.1374,0,11.914,20.3096,10.31141061,19.30201912,242.2632428,0.271334832,260.62,183.4977608,444.1177608,1.216760989,35,1.12,29,14.91249996,951,1699,1.322757143,12.1856,0.327835053,19.9127903
icr038110,39.57110596,11.26671982,East Africa,Ethiopia,Kutaber,1,7,Topsoil,14.653,46.143,66.17,83.084,4.99,4.99,0,0.49,6.53,3604.179,7664.7,805.884,3731.056,178.7,228.72,27.81,6.262290428,10.8870106,0.19115238,46.61641882,50297.44244,14411.85202,36.99785455,43.25569471,43.51471291,67993.71887,11228.74692,10426.42733,1446.789751,538.622304,42.73079263,3524.735868,6.628059129,586.3277494,136.0360482,Grassland,16-02-11,2632,1.9,7,9,Sloping,Medium gradient hill,Footslope,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,there are euphiobia and forbs. majirity of the area for this plot where three of the sub plots lie is covered by grasses.,Yes,1,1,0,0,the area is basically covered by grasses bordered by cemetries. though there are not cemetries in the plot ; it is part of  the cemetry.,1,1,1,2,Sheet,Sheet,Sheet,Sheet,None,0,,50,45,50,45,,NA,NA,NA,NA,NA,NA,icr038106,0.7279,5.5576,40.1374,0,11.914,20.3096,10.31141061,19.30201912,242.2632428,0.266489567,260.62,123.8749421,384.4949421,1.0534108,33,1.1,28,14.60416673,950,1692,1.267414286,10.978,0.327835053,19.9127903
icr038116,39.57174301,11.26214695,East Africa,Ethiopia,Kutaber,1,10,Topsoil,47.838,76.425,89.086,95.765,3.84,3.84,0,0.35,5.87,3687.74,10428.2,877.766,694.947,11.76,176.66,27.03,0.554769004,10.30690625,0.223178302,41.90866434,62462.10598,8321.867107,37.68059649,24.12623168,25.50022613,78720.57451,2368.90219,7569.90752,1530.298836,399.007306,29.48124394,696.0870835,9.606230504,372.4286873,99.99356628,Cropland,14-02-11,2798,1.5,10,7,Composite,Ridges,Ridge/Crest,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazing land but fallow partly cultivated,No,1,1,0,0,the land has been used for both grazing and cultivation,2,2,2,2,Sheet,Sheet,Sheet,Sheet,Structural,1,,20,20,20,50,rocky site on a hill fallow; previously cultivated,NA,NA,NA,NA,NA,NA,icr038106,0.7279,5.5576,40.1374,0,11.914,20.3096,9.277812168,19.30201912,242.2632428,0.264066935,260.62,126.9032028,387.5232028,1.061707405,35,1.09,28,14.82916669,952,1695,1.322757143,8.3712,0.327835053,19.9127903
